"vendorName,ediName,issueDate,needNewCat,updatedWLatest,reporter,comments"
"Sol Food Soaps","EDI-SOLSOAPS","not in Titus","?","?","titus","Sol Foods Soaps catalog as of 2018-03-13"
"Solgar","EDI-SOLGAR","2/13/2019","no","yes","titus","Solgar catalog as of 2019-06-05"
"SoulKu","EDI-SOULKU","not in Titus","?","?","titus","SoulKu catalog as of 2017-11-07"
"Sovereign Silver","EDI-SOVEREIGN","not in Titus","?","?","titus","Sovereign Silver catalog as of 2018-05-15"
"Sukin","EDI-SUKIN","not in Titus","?","?","titus","Sukin catalog as of 2018-04-01"
"Superieur Electrolytes","EDI-SUPERIEUR","4/1/2019","no","yes","titus","Superieur Electrolytes catalog as of 2019-07-09"
"TerraNatural","EDI-TERRANAT","8/28/2018","yes","? - check","titus","empty"
"Threshold Enterprises","EDI-THRESHOLD","not in Titus","?","?","titus","Threshold catalog as of 2018-05-14"
"Town & Country","EDI-TANDC","not in Titus","?","?","titus","Town and Country catalog as of 2018-01-03"
"Trace Minerals","EDI-TRACE","not in Titus","?","?","titus","Trace Minerals catalog as of 2016-12-12"
"Ultimate Superfoods","EDI-ULTSUPERFOODS","8/21/2018","yes","no","titus","Ultimate SuperFoods catalog as of 2016-12-20"
"UNFI Greenwood","EDI-UNFI","8/1/2019","no","yes","titus","UNFI catalog as of 2019-07-18"
"Vega - U.S.","EDI-VEGA","not in Titus","?","?","titus","empty"
"Vibrant Health","EDI-VIBRANT","not in Titus","?","?","titus","Vibrant Health catalog as of 2018-01-01"
"Vital Leaf","EDI-VITALLEAF","not in Titus","?","?","titus","empty"
"Vital Proteins","EDI-VITAL","12/13/2018","yes","no","titus","Vital Proteins catalog as of 2018-08-01"
"Vitanica","EDI-VITANICA","6/1/2019","no","yes","titus","Vitanica catalog as of 2019-06-05"
"Wells Made Foods","EDI-WELLSMADE","not in Titus","?","?","titus","empty"
"Wholesome Pet","EDI-WHOLESOME","not in Titus","?","?","titus","Wholesome Pet catalog as of 2016-12-19"
"WishGarden","EDI-WISHGARDEN","not in Titus","?","?","titus","WishGarden catalog as of 2018-12-20"
